tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2010-01-02,-1.8240723704053186,-1.9798990944993473,-2.040625172040986,-1.1591517386879466,-1.194630141812023,-1.422484580249816,-1.8464453004475265,-0.6545792777379317,-2.176083274039051
2010-01-03,-1.8240723704053186,-2.3023707351282403,-2.040625172040986,-0.8978059051464216,-1.5358945052629271,-1.422484580249816,-2.041299031953875,0.6643491177041696,-2.176083274039051
2010-01-05,-1.8240723704053186,-2.4313593913797975,-2.040625172040986,-1.0720364608407718,-1.6671500296671211,-1.6120522339487815,-2.1062502757893244,0.6643491177041696,-2.176083274039051
2010-01-06,-1.8240723704053186,-2.1088877507509043,-1.9586915049956624,-0.6364600716048965,-1.562145610143766,-1.0433492728518854,-1.9438721662007006,0.6643491177041696,-2.176083274039051
2010-01-07,-1.8240723704053186,-1.3994501413673404,-1.876757837950339,-0.46222951591054645,-1.3521367710970558,-0.6642139654539545,-1.5866403251057284,0.6643491177041696,-2.176083274039051
2010-01-08,-1.8240723704053186,0.0839194055255667,-1.5490231697690453,1.8898829859631792,-1.562145610143766,-0.2850786580560237,-0.8397010209980592,0.6643491177041696,-0.4252116742375158
2010-01-09,-1.8240723704053186,-0.49652954760644036,-1.7948241709050157,0.8444996517970789,-1.4571411906204108,-0.0955110043570583,-1.131981618257582,0.6643491177041696,-0.4252116742375158
2010-01-10,-1.8240723704053186,-1.8509104382477901,-1.7948241709050157,-0.5493447937577215,-1.3783878759778945,-0.85378161915292,-1.8139696785298016,0.6643491177041696,-2.176083274039051
2010-01-11,-1.8240723704053186,-0.49652954760644036,-1.3851558356783986,0.23469270686685373,-1.4571411906204108,-0.0955110043570583,-1.131981618257582,0.6643491177041696,-0.4252116742375158
2010-01-12,-1.8240723704053186,-1.141472828864226,-1.876757837950339,0.32180798471402877,-1.8246566589521538,0.09405664934190712,-1.4567378374348294,0.6643491177041696,-2.176083274039051
2010-01-13,-1.8240723704053186,-2.2378764070024615,-1.7948241709050157,-0.02665312667467135,-1.798405554071315,-0.85378161915292,-1.9763477881184255,-1.973507673180033,-2.176083274039051
2010-01-14,-1.8240723704053186,-1.592933125744676,-1.7128905038596922,-0.11376840452184638,-1.6671500296671211,-1.2329169265508508,-1.6840671908589027,0.6643491177041696,-2.176083274039051
2010-01-15,-1.8240723704053186,-1.7864161101220117,-1.7948241709050157,0.32180798471402877,-1.6146478199054435,0.09405664934190712,-1.781494056612077,0.6643491177041696,-2.176083274039051
2010-01-16,-1.8240723704053186,-0.5610238757322189,-1.7948241709050157,0.7573843739499039,-1.6146478199054435,0.28362430304087255,-1.1644572401753066,0.6643491177041696,-0.4252116742375158
2010-01-17,-1.8240723704053186,-1.2059671569900046,-1.876757837950339,-0.11376840452184638,-1.4833922955012497,-0.4746463117549891,-1.4892134593525541,0.6643491177041696,-2.176083274039051
2010-01-18,-1.8240723704053186,-1.592933125744676,-1.876757837950339,-0.02665312667467135,-1.430890085739572,-0.2850786580560237,-1.6840671908589027,0.6643491177041696,-2.176083274039051
2010-01-19,-1.8240723704053186,-1.4639444694931187,-1.9586915049956624,1.192960763185779,-1.4571411906204108,1.2314625715356995,-1.521689081270279,-1.973507673180033,-2.176083274039051
2010-01-21,-1.8240723704053186,-1.7219217819962331,-1.876757837950339,-0.2008836823690214,-1.4571411906204108,-0.6642139654539545,-1.7490184346943523,0.6643491177041696,-2.176083274039051
